BRCH,RT_NO,SETY,STYPE,SERV,ROUTENAME,ROUTE_NO,FROM1,TO1,DEP_TIME,ARR_TIME
PON,1BB,A,SLF,C,PBS-AYYARBANGALOW,1BB,PBS,PARK AYYAR BUNGALOW,5.40,6.20
PON,1BB,A,SLF,C,PBS-AYYARBANGALOW,1BB,PARK AYYAR BUNGALOW,PBS,6.25,7.05
PON,1BB,A,SLF,C,PBS-AYYARBANGALOW,1BB,PBS,PARK AYYAR BUNGALOW,7.25,8.05
PON,1BB,A,SLF,C,PBS-AYYARBANGALOW,1BB,PARK AYYAR BUNGALOW,PBS,8.10,8.50
PON,1BB,A,SLF,C,PBS-AYYARBANGALOW,1BB,PBS,PARK AYYAR BUNGALOW,8.55,9.35
PON,1BB,A,SLF,C,PBS-AYYARBANGALOW,1BB,PARK AYYAR BUNGALOW,PBS,9.40,10.20
PON,1BB,A,SLF,C,PBS-AYYARBANGALOW,1BB,PBS,PARK AYYAR BUNGALOW,10.45,11.25
PON,1BB,A,SLF,C,PBS-AYYARBANGALOW,1BB,PARK AYYAR BUNGALOW,PBS,11.30,12.10
PON,1BB,A,SLF,C,PBS-AYYARBANGALOW,1BB,PBS,PARK AYYAR BUNGALOW,12.15,12.55
PON,1BB,A,SLF,C,PBS-AYYARBANGALOW,1BB,PARK AYYAR BUNGALOW,PBS,13.00,13.40
PON,1BB,A,SLF,C,PBS-AYYARBANGALOW,1BB,PBS,PARK AYYAR BUNGALOW,14.10,14.50
PON,1BB,A,SLF,C,PBS-AYYARBANGALOW,1BB,PARK AYYAR BUNGALOW,PBS,14.55,15.35
PON,1BB,A,SLF,C,PBS-AYYARBANGALOW,1BB,PBS,PARK AYYAR BUNGALOW,15.50,16.30
PON,1BB,A,SLF,C,PBS-AYYARBANGALOW,1BB,PARK AYYAR BUNGALOW,PBS,16.35,17.15
PON,1BB,A,SLF,C,PBS-AYYARBANGALOW,1BB,PBS,PARK AYYAR BUNGALOW,17.20,18.00
PON,1BB,A,SLF,C,PBS-AYYARBANGALOW,1BB,PARK AYYAR BUNGALOW,PBS,18.05,18.45
PON,1BB,A,SLF,C,PBS-AYYARBANGALOW,1BB,PBS,PARK AYYAR BUNGALOW,18.50,19.30
PON,1BB,A,SLF,C,PBS-AYYARBANGALOW,1BB,PARK AYYAR BUNGALOW,PBS,19.35,20.15
PON,1BB,A,SLF,C,PBS-AYYARBANGALOW,1BB,PBS,PARK AYYAR BUNGALOW,20.50,21.30
PON,1BB,A,SLF,C,PBS-AYYARBANGALOW,1BB,PARK AYYAR BUNGALOW,PBS,21.35,22.15
TPK,1E,A,SLF,C,ENR-PARK TOWN,1G,BALAJI NAGAR (TPK),PARK TOWN,6.10,7.00
TPK,1E,A,SLF,C,ENR-PARK TOWN,17/1B,PARK TOWN,FATIMA COLLEGE,7.05,7.45
TPK,1E,A,SLF,C,ENR-PARK TOWN,2FC,FATIMA COLLEGE,ELLIS NAGAR,7.50,8.00
TPK,1E,A,SLF,C,ENR-PARK TOWN,1EV,ELLIS NAGAR,PARKVETHAVALLI NAGAR,8.20,9.15
TPK,1E,A,SLF,C,ENR-PARK TOWN,1GV,PARKVETHAVALLI NAGAR,BALAJI NAGAR (TPK),9.20,10.10
TPK,1E,A,SLF,C,ENR-PARK TOWN,1G,BALAJI NAGAR (TPK),PARK TOWN,10.15,11.05
TPK,1E,A,SLF,C,ENR-PARK TOWN,1E,PARK TOWN,ELLIS NAGAR,11.20,12.05
TPK,1E,A,SLF,C,ENR-PARK TOWN,2E/,ELLIS NAGAR,PBS,12.20,12.35
TPK,1E,A,SLF,C,ENR-PARK TOWN,29F/,PBS,FATIMA COLLEGE,12.40,12.55
TPK,1E,A,SLF,C,ENR-PARK TOWN,17/1B,FATIMA COLLEGE,PARK TOWN,13.05,13.35
TPK,1E,A,SLF,C,ENR-PARK TOWN,1B,PARK TOWN,PBS,13.40,14.10
TPK,1E,A,SLF,C,ENR-PARK TOWN,1B,PBS,PARK TOWN,14.55,15.25
TPK,1E,A,SLF,C,ENR-PARK TOWN,1E,PARK TOWN,ELLIS NAGAR,15.30,16.15
TPK,1E,A,SLF,C,ENR-PARK TOWN,1EV,ELLIS NAGAR,PARKVETHAVALLI NAGAR,16.20,17.10
TPK,1E,A,SLF,C,ENR-PARK TOWN,1GV,PARKVETHAVALLI NAGAR,BALAJI NAGAR (TPK),17.15,18.15
TPK,1E,A,SLF,C,ENR-PARK TOWN,1G,BALAJI NAGAR (TPK),PARK TOWN,18.20,19.20
TPK,1E,A,SLF,C,ENR-PARK TOWN,1E,PARK TOWN,ELLIS NAGAR,19.30,20.25
TPK,1E,A,SLF,C,ENR-PARK TOWN,1E,ELLIS NAGAR,PARK TOWN,20.45,21.35
TPK,1E,A,SLF,C,ENR-PARK TOWN,1G,PARK TOWN,BALAJI NAGAR (TPK),21.40,22.35
TPK,1M,A,LSS,C,M.G.NAGAR-NILAIYUR,5B/,TPKUNDRAM,NILAIYUR,5.15,5.25
TPK,1M,A,LSS,C,M.G.NAGAR-NILAIYUR,1M,NILAIYUR,M.G.NAGAR,5.30,6.20
TPK,1M,A,LSS,C,M.G.NAGAR-NILAIYUR,1M,M.G.NAGAR,NILAIYUR,6.25,7.15
TPK,1M,A,LSS,C,M.G.NAGAR-NILAIYUR,1C,NILAIYUR,K.P.COLONY,7.20,8.05
TPK,1M,A,LSS,C,M.G.NAGAR-NILAIYUR,1C,K.P.COLONY,NILAIYUR,8.10,9.00
TPK,1M,A,LSS,C,M.G.NAGAR-NILAIYUR,1M,NILAIYUR,M.G.NAGAR,9.05,10.00
TPK,1M,A,LSS,C,M.G.NAGAR-NILAIYUR,1M,M.G.NAGAR,NILAIYUR,10.15,11.10
TPK,1M,A,LSS,C,M.G.NAGAR-NILAIYUR,1M,NILAIYUR,M.G.NAGAR,11.15,12.10
TPK,1M,A,LSS,C,M.G.NAGAR-NILAIYUR,1M/,M.G.NAGAR,TPKUNDRAM,12.30,13.20
TPK,1M,A,LSS,C,M.G.NAGAR-NILAIYUR,1M/,TPKUNDRAM,M.G.NAGAR,14.00,14.50
TPK,1M,A,LSS,C,M.G.NAGAR-NILAIYUR,1M,M.G.NAGAR,NILAIYUR,14.55,15.50
TPK,1M,A,LSS,C,M.G.NAGAR-NILAIYUR,1M,NILAIYUR,M.G.NAGAR,15.55,16.50
TPK,1M,A,LSS,C,M.G.NAGAR-NILAIYUR,1M,M.G.NAGAR,NILAIYUR,16.55,17.50
TPK,1M,A,LSS,C,M.G.NAGAR-NILAIYUR,1M,NILAIYUR,M.G.NAGAR,17.55,18.50
TPK,1M,A,LSS,C,M.G.NAGAR-NILAIYUR,1M,M.G.NAGAR,NILAIYUR,19.05,20.00
TPK,1M,A,LSS,C,M.G.NAGAR-NILAIYUR,1M,NILAIYUR,M.G.NAGAR,20.20,21.10
TPK,1M,A,LSS,C,M.G.NAGAR-NILAIYUR,1M,M.G.NAGAR,NILAIYUR,21.15,22.05
TPK,1M,A,LSS,C,M.G.NAGAR-NILAIYUR,5B/,NILAIYUR,TPKUNDRAM,22.10,22.20
BCB,2G,A,EXP,C,PBS-INTEGRATED B.S.,2G,PBS,INTEGRATED B.S.,5.20,5.50
BCB,2G,A,EXP,C,PBS-INTEGRATED B.S.,2G,INTEGRATED B.S.,PBS,5.55,6.30
BCB,2G,A,EXP,C,PBS-INTEGRATED B.S.,21L,PBS,VIRATTIPATHU,6.35,6.55
BCB,2G,A,EXP,C,PBS-INTEGRATED B.S.,55Q,VIRATTIPATHU,LINGAPPANAICKANUR,7.00,8.35
BCB,2G,A,EXP,C,PBS-INTEGRATED B.S.,55Q,LINGAPPANAICKANUR,VIRATTIPATHU,8.40,10.15
BCB,2G,A,EXP,C,PBS-INTEGRATED B.S.,21L,VIRATTIPATHU,PBS,10.20,10.40
BCB,2G,A,EXP,C,PBS-INTEGRATED B.S.,2G,PBS,INTEGRATED B.S.,11.00,11.35
BCB,2G,A,EXP,C,PBS-INTEGRATED B.S.,2G,INTEGRATED B.S.,PBS,11.45,12.20
BCB,2G,A,EXP,C,PBS-INTEGRATED B.S.,2G,PBS,INTEGRATED B.S.,12.30,13.05
BCB,2G,A,EXP,C,PBS-INTEGRATED B.S.,2G,INTEGRATED B.S.,PBS,13.10,13.45
BCB,2G,A,EXP,C,PBS-INTEGRATED B.S.,2G,PBS,INTEGRATED B.S.,14.10,14.45
BCB,2G,A,EXP,C,PBS-INTEGRATED B.S.,2G,INTEGRATED B.S.,PBS,14.50,15.25
BCB,2G,A,EXP,C,PBS-INTEGRATED B.S.,21L,PBS,VIRATTIPATHU,15.30,15.50
BCB,2G,A,EXP,C,PBS-INTEGRATED B.S.,55Q,VIRATTIPATHU,LINGAPPANAICKANUR,15.55,17.30
BCB,2G,A,EXP,C,PBS-INTEGRATED B.S.,55Q,LINGAPPANAICKANUR,VIRATTIPATHU,17.35,19.10
BCB,2G,A,EXP,C,PBS-INTEGRATED B.S.,21L,VIRATTIPATHU,PBS,19.15,19.35
BCB,2G,A,EXP,C,PBS-INTEGRATED B.S.,2G,PBS,INTEGRATED B.S.,19.50,20.25
BCB,2G,A,EXP,C,PBS-INTEGRATED B.S.,2G,INTEGRATED B.S.,PBS,20.30,21.05
BCB,2G,A,EXP,C,PBS-INTEGRATED B.S.,2G,PBS,INTEGRATED B.S.,21.10,21.45
BCB,2G,A,EXP,C,PBS-INTEGRATED B.S.,2G,INTEGRATED B.S.,PBS,21.50,22.25
BCB,2K,B,EXP,C,PBS-SURIYA NAGAR,23S,PBS,SALVARPATTI,5.10,6.00
BCB,2K,B,EXP,C,PBS-SURIYA NAGAR,23S,SALVARPATTI,PBS,6.05,7.00
BCB,2K,B,EXP,C,PBS-SURIYA NAGAR,23FM,PBS,MALAIPATTI,7.20,8.10
BCB,2K,B,EXP,C,PBS-SURIYA NAGAR,23FM,MALAIPATTI,PBS,8.15,9.05
BCB,2K,B,EXP,C,PBS-SURIYA NAGAR,2KM,PBS,MEENAKSHIAMMAN NAGAR,9.20,9.50
BCB,2K,B,EXP,C,PBS-SURIYA NAGAR,2KM,MEENAKSHIAMMAN NAGAR,PBS,9.55,10.25
BCB,2K,B,EXP,C,PBS-SURIYA NAGAR,24F,PBS,T.MANICKAMPATTI,10.40,11.45
BCB,2K,B,EXP,C,PBS-SURIYA NAGAR,24F,T.MANICKAMPATTI,PBS,11.55,13.00
BCB,2K,B,EXP,C,PBS-SURIYA NAGAR,2G,PBS,INTEGRATED B.S.,13.15,13.45
BCB,2K,B,EXP,C,PBS-SURIYA NAGAR,2G,INTEGRATED B.S.,PBS,13.55,14.25
BCB,2K,B,EXP,C,PBS-SURIYA NAGAR,2G,PBS,INTEGRATED B.S.,14.30,15.00
BCB,2K,B,EXP,C,PBS-SURIYA NAGAR,2G,INTEGRATED B.S.,PBS,15.05,15.35
BCB,2K,B,EXP,C,PBS-SURIYA NAGAR,2KM,PBS,MEENAKSHIAMMAN NAGAR,15.50,16.20
BCB,2K,B,EXP,C,PBS-SURIYA NAGAR,2KM,MEENAKSHIAMMAN NAGAR,PBS,16.25,16.55
BCB,2K,B,EXP,C,PBS-SURIYA NAGAR,23FM,PBS,MALAIPATTI,17.05,17.55
BCB,2K,B,EXP,C,PBS-SURIYA NAGAR,23FM,MALAIPATTI,PBS,18.00,18.50
BCB,2K,B,EXP,C,PBS-SURIYA NAGAR,66,PBS,THIRUVATHAVUR,19.10,20.10
BCB,2K,B,EXP,C,PBS-SURIYA NAGAR,66,THIRUVATHAVUR,PBS,20.15,21.15
BCB,3,A,EXP,C,PLG-INTEGRATED B.S.,3,PALANGANATHAM,INTEGRATED B.S.,5.10,5.50
BCB,3,A,EXP,C,PLG-INTEGRATED B.S.,3X,INTEGRATED B.S.,PBS,5.55,6.20
BCB,3,A,EXP,C,PLG-INTEGRATED B.S.,26N,PBS,MAMBATTIPATTI,6.25,7.35
BCB,3,A,EXP,C,PLG-INTEGRATED B.S.,26N,MAMBATTIPATTI,PBS,7.50,9.05
BCB,3,A,EXP,C,PLG-INTEGRATED B.S.,3X,PBS,INTEGRATED B.S.,9.10,9.35
BCB,3,A,EXP,C,PLG-INTEGRATED B.S.,3,INTEGRATED B.S.,PALANGANATHAM,9.40,10.15
BCB,3,A,EXP,C,PLG-INTEGRATED B.S.,3,PALANGANATHAM,INTEGRATED B.S.,10.20,11.00
BCB,3,A,EXP,C,PLG-INTEGRATED B.S.,3,INTEGRATED B.S.,PALANGANATHAM,11.10,11.50
BCB,3,A,EXP,C,PLG-INTEGRATED B.S.,3,PALANGANATHAM,INTEGRATED B.S.,12.00,12.40
BCB,3,A,EXP,C,PLG-INTEGRATED B.S.,3,INTEGRATED B.S.,PALANGANATHAM,12.50,13.30
BCB,3,A,EXP,C,PLG-INTEGRATED B.S.,3,PALANGANATHAM,INTEGRATED B.S.,13.45,14.25
BCB,3,A,EXP,C,PLG-INTEGRATED B.S.,3,INTEGRATED B.S.,PALANGANATHAM,14.30,15.10
BCB,3,A,EXP,C,PLG-INTEGRATED B.S.,3,PALANGANATHAM,INTEGRATED B.S.,15.15,15.55
BCB,3,A,EXP,C,PLG-INTEGRATED B.S.,3X,INTEGRATED B.S.,PBS,16.00,16.25
BCB,3,A,EXP,C,PLG-INTEGRATED B.S.,26N,PBS,MAMBATTIPATTI,16.35,17.50
BCB,3,A,EXP,C,PLG-INTEGRATED B.S.,26N,MAMBATTIPATTI,PBS,17.55,19.10
BCB,3,A,EXP,C,PLG-INTEGRATED B.S.,3X,PBS,INTEGRATED B.S.,19.15,19.40
BCB,3,A,EXP,C,PLG-INTEGRATED B.S.,3,INTEGRATED B.S.,PALANGANATHAM,19.45,20.25
BCB,3,A,EXP,C,PLG-INTEGRATED B.S.,3,PALANGANATHAM,INTEGRATED B.S.,20.30,21.10
BCB,3,A,EXP,C,PLG-INTEGRATED B.S.,3,INTEGRATED B.S.,PALANGANATHAM,21.20,22.00
BCB,3,B,SLF,C,PLG-INTEGRATED B.S.,2EX,BCB(DEPOT),PBS,5.55,6.00
BCB,3,B,SLF,C,PLG-INTEGRATED B.S.,3X,PBS,INTEGRATED B.S.,6.05,6.30
BCB,3,B,SLF,C,PLG-INTEGRATED B.S.,4CM,INTEGRATED B.S.,CHINNA KANMAI,6.35,7.05
BCB,3,B,SLF,C,PLG-INTEGRATED B.S.,4CM,CHINNA KANMAI,INTEGRATED B.S.,7.10,7.40
BCB,3,B,SLF,C,PLG-INTEGRATED B.S.,3M,INTEGRATED B.S.,MADAKULAM,7.50,8.40
BCB,3,B,SLF,C,PLG-INTEGRATED B.S.,3MH,MADAKULAM,HIGH COURT,8.45,9.45
BCB,3,B,SLF,C,PLG-INTEGRATED B.S.,3HC,HIGH COURT,PBS,9.50,10.25
BCB,3,B,SLF,C,PLG-INTEGRATED B.S.,3X,PBS,INTEGRATED B.S.,10.40,11.15
BCB,3,B,SLF,C,PLG-INTEGRATED B.S.,3X,INTEGRATED B.S.,PBS,11.20,11.45
BCB,3,B,SLF,C,PLG-INTEGRATED B.S.,3X,PBS,INTEGRATED B.S.,11.50,12.15
BCB,3,B,SLF,C,PLG-INTEGRATED B.S.,3X,INTEGRATED B.S.,PBS,12.30,12.55
BCB,3,B,SLF,C,PLG-INTEGRATED B.S.,3X,PBS,INTEGRATED B.S.,13.00,13.25
BCB,3,B,SLF,C,PLG-INTEGRATED B.S.,3X,INTEGRATED B.S.,PBS,13.30,13.55
BCB,3,B,SLF,C,PLG-INTEGRATED B.S.,3X,PBS,INTEGRATED B.S.,14.20,14.45
BCB,3,B,SLF,C,PLG-INTEGRATED B.S.,3X,INTEGRATED B.S.,PBS,14.50,15.15
BCB,3,B,SLF,C,PLG-INTEGRATED B.S.,3X,PBS,INTEGRATED B.S.,15.20,15.45
BCB,3,B,SLF,C,PLG-INTEGRATED B.S.,4CM,INTEGRATED B.S.,CHINNA KANMAI,15.50,16.20
BCB,3,B,SLF,C,PLG-INTEGRATED B.S.,4CM,CHINNA KANMAI,INTEGRATED B.S.,16.25,16.55
BCB,3,B,SLF,C,PLG-INTEGRATED B.S.,3X,INTEGRATED B.S.,PBS,17.00,17.25
BCB,3,B,SLF,C,PLG-INTEGRATED B.S.,3D/,PBS,NARASINGAM,17.30,18.05
BCB,3,B,SLF,C,PLG-INTEGRATED B.S.,3D/,NARASINGAM,PBS,18.10,18.50
BCB,3,B,SLF,C,PLG-INTEGRATED B.S.,3X,PBS,INTEGRATED B.S.,19.05,19.30
BCB,3,B,SLF,C,PLG-INTEGRATED B.S.,3X,INTEGRATED B.S.,PBS,19.35,20.00
BCB,3,B,SLF,C,PLG-INTEGRATED B.S.,3X,PBS,INTEGRATED B.S.,20.05,20.30
BCB,3,B,SLF,C,PLG-INTEGRATED B.S.,3X,INTEGRATED B.S.,PBS,20.35,21.10
BCB,3,B,SLF,C,PLG-INTEGRATED B.S.,3X,PBS,INTEGRATED B.S.,21.15,21.40
BCB,3,B,SLF,C,PLG-INTEGRATED B.S.,3X,INTEGRATED B.S.,PBS,21.45,22.10
BCB,3,B,SLF,C,PLG-INTEGRATED B.S.,2EX,PBS,BCB(DEPOT),22.15,22.20
BCB,3,C,SLF,C,PLG-INTEGRATED B.S.,3GX,PALANGANATHAM,VALAR NAGAR,5.55,6.40
BCB,3,C,SLF,C,PLG-INTEGRATED B.S.,3GX,VALAR NAGAR,PALANGANATHAM,6.45,7.30
BCB,3,C,SLF,C,PLG-INTEGRATED B.S.,3K,PALANGANATHAM,OTHAKKADAI,7.40,8.25
BCB,3,C,SLF,C,PLG-INTEGRATED B.S.,3K,OTHAKKADAI,PALANGANATHAM,8.30,9.15
BCB,3,C,SLF,C,PLG-INTEGRATED B.S.,3E,PALANGANATHAM,INTEGRATED B.S.,9.25,10.05
BCB,3,C,SLF,C,PLG-INTEGRATED B.S.,3E,INTEGRATED B.S.,PALANGANATHAM,10.10,10.50
BCB,3,C,SLF,C,PLG-INTEGRATED B.S.,3,PALANGANATHAM,INTEGRATED B.S.,11.15,11.55
BCB,3,C,SLF,C,PLG-INTEGRATED B.S.,3,INTEGRATED B.S.,PALANGANATHAM,12.00,12.40
BCB,3,C,SLF,C,PLG-INTEGRATED B.S.,3,PALANGANATHAM,INTEGRATED B.S.,12.50,13.30
BCB,3,C,SLF,C,PLG-INTEGRATED B.S.,3X,INTEGRATED B.S.,PBS,13.40,14.10
BCB,3,C,SLF,C,PLG-INTEGRATED B.S.,3,PALANGANATHAM,INTEGRATED B.S.,14.35,15.15
BCB,3,C,SLF,C,PLG-INTEGRATED B.S.,3,INTEGRATED B.S.,PALANGANATHAM,15.20,16.00
BCB,3,C,SLF,C,PLG-INTEGRATED B.S.,3D,PALANGANATHAM,NARASINGAM,16.05,16.50
BCB,3,C,SLF,C,PLG-INTEGRATED B.S.,3D,NARASINGAM,PALANGANATHAM,16.55,17.45
BCB,3,C,SLF,C,PLG-INTEGRATED B.S.,3E,PALANGANATHAM,INTEGRATED B.S.,17.50,18.30
BCB,3,C,SLF,C,PLG-INTEGRATED B.S.,3E,INTEGRATED B.S.,PALANGANATHAM,18.50,19.30
BCB,3,C,SLF,C,PLG-INTEGRATED B.S.,3GX,PALANGANATHAM,VALAR NAGAR,19.35,20.20
BCB,3,C,SLF,C,PLG-INTEGRATED B.S.,3GX,VALAR NAGAR,PALANGANATHAM,20.25,21.10
BCB,3,C,SLF,C,PLG-INTEGRATED B.S.,3,PALANGANATHAM,INTEGRATED B.S.,21.15,21.55
BCB,3,C,SLF,C,PLG-INTEGRATED B.S.,3X,INTEGRATED B.S.,PBS,22.10,22.40
PDR,3,D,SLF,C,PLG-INTEGRATED B.S.,2PK,PUDUR,KADACHANENDHAL,5.15,5.25
PDR,3,D,SLF,C,PLG-INTEGRATED B.S.,23M,KADACHANENDHAL,PBS,5.30,6.10
PDR,3,D,SLF,C,PLG-INTEGRATED B.S.,59G,PBS,DEVASERI,6.35,7.20
PDR,3,D,SLF,C,PLG-INTEGRATED B.S.,59G,DEVASERI,PBS,7.25,8.15
PDR,3,D,SLF,C,PLG-INTEGRATED B.S.,42N,PBS,DR.KABEER NAGAR,8.20,8.50
PDR,3,D,SLF,C,PLG-INTEGRATED B.S.,42N,DR.KABEER NAGAR,PBS,8.55,9.30
PDR,3,D,SLF,C,PLG-INTEGRATED B.S.,3X,PBS,INTEGRATED B.S.,9.35,10.05
PDR,3,D,SLF,C,PLG-INTEGRATED B.S.,3X,INTEGRATED B.S.,PBS,10.15,10.45
PDR,3,D,SLF,C,PLG-INTEGRATED B.S.,3X,PBS,INTEGRATED B.S.,10.50,11.20
PDR,3,D,SLF,C,PLG-INTEGRATED B.S.,3X,INTEGRATED B.S.,PBS,11.30,12.00
PDR,3,D,SLF,C,PLG-INTEGRATED B.S.,3X,PBS,INTEGRATED B.S.,12.05,12.35
PDR,3,D,SLF,C,PLG-INTEGRATED B.S.,3X,INTEGRATED B.S.,PBS,12.40,13.10
PDR,3,D,SLF,C,PLG-INTEGRATED B.S.,3X,PBS,INTEGRATED B.S.,13.15,13.45
PDR,3,D,SLF,C,PLG-INTEGRATED B.S.,3X,INTEGRATED B.S.,PBS,13.50,14.20
PDR,3,D,SLF,C,PLG-INTEGRATED B.S.,3X,PBS,INTEGRATED B.S.,14.25,14.55
PDR,3,D,SLF,C,PLG-INTEGRATED B.S.,3X,INTEGRATED B.S.,PBS,15.00,15.30
PDR,3,D,SLF,C,PLG-INTEGRATED B.S.,3D/,PBS,NARASINGAM,15.45,16.25
PDR,3,D,SLF,C,PLG-INTEGRATED B.S.,3D/,NARASINGAM,PBS,16.30,17.15
PDR,3,D,SLF,C,PLG-INTEGRATED B.S.,59G,PBS,DEVASERI,17.20,18.10
PDR,3,D,SLF,C,PLG-INTEGRATED B.S.,59G,DEVASERI,PBS,18.15,19.05
PDR,3,D,SLF,C,PLG-INTEGRATED B.S.,3X,PBS,INTEGRATED B.S.,19.30,20.00
PDR,3,D,SLF,C,PLG-INTEGRATED B.S.,3X,INTEGRATED B.S.,PBS,20.05,20.35
PDR,3,D,SLF,C,PLG-INTEGRATED B.S.,3X,PBS,INTEGRATED B.S.,20.40,21.10
PDR,3,D,SLF,C,PLG-INTEGRATED B.S.,3X,INTEGRATED B.S.,PBS,21.15,21.45
PDR,3,D,SLF,C,PLG-INTEGRATED B.S.,3X,PBS,INTEGRATED B.S.,21.50,22.20
PDR,3,D,SLF,C,PLG-INTEGRATED B.S.,2G/,INTEGRATED B.S.,PUDUR,22.25,22.30
BCB,3A,A,SLF,C,PBS-INTEGRATED B.S.,3A,PBS,INTEGRATED B.S.,6.00,6.25
BCB,3A,A,SLF,C,PBS-INTEGRATED B.S.,3A,INTEGRATED B.S.,PBS,6.35,7.00
BCB,3A,A,SLF,C,PBS-INTEGRATED B.S.,2D,PBS,SUNDARRAJANPATTI,7.20,8.00
BCB,3A,A,SLF,C,PBS-INTEGRATED B.S.,2D,SUNDARRAJANPATTI,PBS,8.05,8.40
BCB,3A,A,SLF,C,PBS-INTEGRATED B.S.,3A,PBS,INTEGRATED B.S.,8.45,9.20
BCB,3A,A,SLF,C,PBS-INTEGRATED B.S.,3A,INTEGRATED B.S.,PBS,9.22,10.00
BCB,3A,A,SLF,C,PBS-INTEGRATED B.S.,3A,PBS,INTEGRATED B.S.,10.02,10.40
BCB,3A,A,SLF,C,PBS-INTEGRATED B.S.,3A,INTEGRATED B.S.,PBS,10.42,11.20
BCB,3A,A,SLF,C,PBS-INTEGRATED B.S.,3A,PBS,INTEGRATED B.S.,11.22,12.00
BCB,3A,A,SLF,C,PBS-INTEGRATED B.S.,3A,INTEGRATED B.S.,PBS,12.05,12.43
BCB,3A,A,SLF,C,PBS-INTEGRATED B.S.,3A,PBS,INTEGRATED B.S.,12.45,13.20
BCB,3A,A,SLF,C,PBS-INTEGRATED B.S.,3A,WAKF.B.COLLEGE,PBS,13.25,13.55
BCB,3A,A,SLF,C,PBS-INTEGRATED B.S.,3A,PBS,INTEGRATED B.S.,14.30,15.03
BCB,3A,A,SLF,C,PBS-INTEGRATED B.S.,3A,INTEGRATED B.S.,PBS,15.05,15.35
BCB,3A,A,SLF,C,PBS-INTEGRATED B.S.,3A,PBS,INTEGRATED B.S.,15.40,16.13
BCB,3A,A,SLF,C,PBS-INTEGRATED B.S.,3A,INTEGRATED B.S.,PBS,16.15,16.50
BCB,3A,A,SLF,C,PBS-INTEGRATED B.S.,3A,PBS,INTEGRATED B.S.,16.55,17.33
BCB,3A,A,SLF,C,PBS-INTEGRATED B.S.,3A,INTEGRATED B.S.,PBS,17.35,18.13
BCB,3A,A,SLF,C,PBS-INTEGRATED B.S.,3A,PBS,INTEGRATED B.S.,18.15,18.53
BCB,3A,A,SLF,C,PBS-INTEGRATED B.S.,3A,INTEGRATED B.S.,PBS,18.55,19.30
BCB,3A,A,SLF,C,PBS-INTEGRATED B.S.,3A,PBS,INTEGRATED B.S.,19.45,20.20
BCB,3A,A,SLF,C,PBS-INTEGRATED B.S.,3A,INTEGRATED B.S.,PBS,20.25,21.00
BCB,3A,A,SLF,C,PBS-INTEGRATED B.S.,3A,PBS,INTEGRATED B.S.,21.15,21.50
BCB,3A,A,SLF,C,PBS-INTEGRATED B.S.,3A,INTEGRATED B.S.,PBS,21.55,22.30
PDR,3A,B,SLF,C,PBS-INTEGRATED B.S.,2G/,PUDUR,INTEGRATED B.S.,5.30,5.40
PDR,3A,B,SLF,C,PBS-INTEGRATED B.S.,66\,INTEGRATED B.S.,THIRUVATHAVUR,5.45,6.25
PDR,3A,B,SLF,C,PBS-INTEGRATED B.S.,66,THIRUVATHAVUR,PBS,6.30,7.35
PDR,3A,B,SLF,C,PBS-INTEGRATED B.S.,2F,PBS,KATHAKINARU,7.40,8.15
PDR,3A,B,SLF,C,PBS-INTEGRATED B.S.,2F,KATHAKINARU,PBS,8.20,8.55
PDR,3A,B,SLF,C,PBS-INTEGRATED B.S.,3A,PBS,INTEGRATED B.S.,9.10,9.45
PDR,3A,B,SLF,C,PBS-INTEGRATED B.S.,3A,INTEGRATED B.S.,PBS,9.50,10.25
PDR,3A,B,SLF,C,PBS-INTEGRATED B.S.,3A,PBS,INTEGRATED B.S.,10.30,11.05
PDR,3A,B,SLF,C,PBS-INTEGRATED B.S.,3A,INTEGRATED B.S.,PBS,11.30,12.05
PDR,3A,B,SLF,C,PBS-INTEGRATED B.S.,3A,PBS,INTEGRATED B.S.,12.10,12.45
PDR,3A,B,SLF,C,PBS-INTEGRATED B.S.,3A,INTEGRATED B.S.,PBS,12.50,13.25
PDR,3A,B,SLF,C,PBS-INTEGRATED B.S.,3A,PBS,INTEGRATED B.S.,13.30,14.05
PDR,3A,B,SLF,C,PBS-INTEGRATED B.S.,3A,INTEGRATED B.S.,PBS,14.15,14.50
PDR,3A,B,SLF,C,PBS-INTEGRATED B.S.,3A,PBS,INTEGRATED B.S.,14.55,15.30
PDR,3A,B,SLF,C,PBS-INTEGRATED B.S.,3A,INTEGRATED B.S.,PBS,15.35,16.10
PDR,3A,B,SLF,C,PBS-INTEGRATED B.S.,3A,PBS,INTEGRATED B.S.,16.25,17.00
PDR,3A,B,SLF,C,PBS-INTEGRATED B.S.,3A,INTEGRATED B.S.,PBS,17.05,17.40
PDR,3A,B,SLF,C,PBS-INTEGRATED B.S.,3A,PBS,INTEGRATED B.S.,17.45,18.20
PDR,3A,B,SLF,C,PBS-INTEGRATED B.S.,3A,INTEGRATED B.S.,PBS,18.25,19.00
PDR,3A,B,SLF,C,PBS-INTEGRATED B.S.,3A,PBS,INTEGRATED B.S.,19.05,19.40
PDR,3A,B,SLF,C,PBS-INTEGRATED B.S.,3A,INTEGRATED B.S.,PBS,20.00,20.35
PDR,3A,B,SLF,C,PBS-INTEGRATED B.S.,3A,PBS,INTEGRATED B.S.,20.40,21.15
